YAAH! (You Are A Hero),https://apps.apple.com/us/app/yaah-you-are-a-hero/id1529783835,4.5 ,25,Save Them All!,"Yaah! (You Are A Hero) is a new addictive 3D game where you have to save everyone from dangerous situations!How To Play:- Swipe your screen to move right and left!- Avoid the danger!- Catch the super vilains!Features:- Tons of levels and situations to discover- Addictive gameplay- Easy to pick up!
",RadPirates,174.7 MB,English,12+,Free,"Sep 26, 2020",https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/8c/0f/20/8c0f2069-da9f-b1dd-107d-8923221a75bf/AppIcon-1x_U007emarketing-0-7-0-85-220.png/230x0w.png,Yes,Games
Yaba! Du! Saur! - Dinosaur Hunter,https://apps.apple.com/us/app/yaba-du-saur-dinosaur-hunter/id1046762070,,,,"Yaba! Du! Saur! - Dinosaur Hunter is a frenetic, fun and fast platformer. Yaba! Du! Saur! - Dinosaur Hunter is a highly addictive game with caveman couples. Take control of our caveman and dash into dinosaur world . It’s the classic attack, jump controls, and other items to help you to complete over 24 missions.Collect as many foods as you can along the way to exchange props. Let’s dash! Run! Run! Run!Enjoy it!Features:- 24 Missions- Special props- Cute graphics and smooth animation- Catchy music and sound effects- Submit score Game Center- Hours of fun!
",Tang Cho man,12.3 MB,English,9+,Free,"Apr 24, 2016",https://is3-ssl.mzstatic.com/image/thumb/Purple20/v4/3b/f4/66/3bf4666c-8990-f7ff-8820-915e4c22f9d0/mzl.elrsnpot.jpg/230x0w.jpg,Yes,Games
Yabi Zoo,https://apps.apple.com/us/app/yabi-zoo/id1270530157,,,,"Welcome to YABI ZOOLet the animals get together!The same animals together to get the score OhThe more there will be more props!Come and challenge it
",Yau Keung Chan,34 MB,English,4+,Free,,https://is4-ssl.mzstatic.com/image/thumb/Purple128/v4/42/7a/d9/427ad9bf-f5ae-5d43-975f-8cd05f0a535f/pr_source.png/230x0w.png,,Games
Yachats ( a 5 dice game),https://apps.apple.com/us/app/yachats-a-5-dice-game/id322977092,5.0 ,4,,"The classic 5-dice game in a clean and elegant form.- One or Two player games- Single, clear game view, no scrolling to find your score- Gorgeous 3D rendered dice and animations- 3 dice styles, switch anytime, even during a game- Realistic sound-effects- Shake to roll option- Automatic scorekeeping with at-a-glance ScoreCard- Hall of Fame style high scores maintained- Fully resumable game after a call comes in or you just quit- Listen to your own iTunes playlists in the backgroundWe think you'll like an app that lets you concentrate on the game itself. It's clear, it's elegant, it's Yachats (YAH-HAHTS).We would love to hear your ideas. Please contact us at the website or by email to: topcatgames@gmail.com.
",Tim Corcoran,8.3 MB,English,4+,$0.99,"Sep 30, 2019",https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/d4/2b/26/d42b26af-ffd7-4f52-4bc3-271c5da2192e/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/230x0w.png,,Games
Yacht - Classic with variants,https://apps.apple.com/us/app/yacht-classic-with-variants/id946090245,3.3 ,3,The Five-of-a-Kind Dice Game.,"Yacht is the famous 5-of-a-kind dice categories game played around the world be people of all ages. Also known as Yahtzy or other names, the game and it's variants are played around the world. This app collects all of the best versions along with a few of MmpApps original versions. Thirteen games in one!Each turn you roll 5 dice with up to two additional re-rolls of some or all of the dice. You must assign the result to one of 13 different scoring categories. There is a lot of strategy involved in which dice to keep and which to re-roll and what category you assign the result to as each category can be used only once.-- All 13 games are included for free in the app. No In-App Purchase! --Games include:Classic Yacht - The most famous version of the game! Played with 5 dice. Score your rolls in one of 13 categories including 5-of-a-kind also known as a Yahtzy!Generala - Also known as Generals this version is very popular in Central and South America and give bonuses for scoring a category on the first roll. Played with 5 dice.Crag - The ancestor of Yacht, Crag is played with 3 dice and has some interesting scoring categories featuring the number 13.Hooligan - Another variant of Yacht from England, Hooligan is unique in that you must assign the category before you are finished rolling and for it's cascading scoring. Played with 5 dice.Flex Yacht - The extra layer of strategy in this MmpApps original gives you just enough rope... Played the same as Classic Yacht but all 26 of your re-rolls are available for use at any time but once they are used up they are gone for good. Spend them wisely.Viking - This variant scoring system is popular in Scandinavia under the name Yahtzy. The one and two pair categories can throw a twist into the game for seasoned players.Yacht Square - An MmpApps original solitaire game where you assign dice to a grid and then assign the rows and columns to the scoring categories. As you roll each die you try to place it to optimize your scoring possibilities. At some point something just isn't going to fit so what row or column do you sacrifice?  Triple Yacht - Play three games of Yacht at once! More than triple the strategy when you throw in the score multipliers! This game is for advanced players only.Poker Yacht - In this variant of Yacht you play with a set of poker dice and score classic poker hands like full house and four-of-a-kind.Two-Hand Yacht - Roll 10 dice and distribute them to 2 hands. This give a higher level of flexibility and hence more strategy.Colors - Dice of three different colors. Scores depend on the color of the dice which adds a new dimension to the classic. game.Word - A unique game of yacht played with letters and words not dice, but still having a yacht-like scoring system.Cricket Yacht - A unique dice game that combines that scoring and strategy of classic Yacht with the famous darts game Cricket opening up brand new areas of strategy in this MmpApps original. Play head to head against the computer or against a friend with pass-n-play.Yacht Drop - Select your hands from a grid of dice. Scored hands are removed from play and remaining dice fall into place. Unique strategy allowing you to use the drop rules to build the best hands.-- All 13 games are included for free in the app. No In-App Purchase! --
",MmpApps Corp.,45 MB,English,4+,Free,"Jul 4, 2019",https://is4-ssl.mzstatic.com/image/thumb/Purple123/v4/7f/06/2f/7f062fb3-da31-76f9-c87d-2bac94d38260/AppIcon-0-1x_U007emarketing-0-85-220-4.png/230x0w.png,,Games
Yacht Classic,https://apps.apple.com/us/app/yacht-classic/id1521094057,,,No-nonsense dice game,"Yacht Classic is a simplified version of Yatzy. Yacht has no upper bonus or joker rule like other variants of the game, giving the game a different feel. There are 12 turns, each with 3 rolls of 5 dice. At the end of each turn you choose an open slot to score your dice. This is a simple, fast, no-nonsense version of Yacht with nothing to get in the way of playing the game.Play with the advisor to hone your strategy, and then play without the advisor to test your skills. Yacht Classic provides in-depth statistics and game analysis to satisfy the most analytical player. You can also play with weighted dice for a bit of variety and a new challenge.
",Timothy Dewey,7.5 MB,English,4+,Free,,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/da/c2/55/dac255a4-2902-cbba-eaaf-c4db057be2e4/AppIcon-Yacht-1x_U007emarketing-0-7-0-85-220.png/230x0w.png,Yes,Games
Yacht Club: Wave Runna,https://apps.apple.com/us/app/yacht-club-wave-runna/id1471445776,4.9 ,40,Race jetskis with Strick!,"Race jetskis with Strick doing stunts and collecting nitros to beat the clock in his new iOS game Yacht Club: Wave Runna. “Yacht Club” is streaming on all platforms now!Learn more at http://www.yachtclub.live/Art by @Pixel_Salvaje
",Tacklebox,37 MB,English,4+,Free,,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/7b/28/b8/7b28b8d6-1563-dafc-3a1d-f66acc481768/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/230x0w.png,,Games
Yacht Free,https://apps.apple.com/us/app/yacht-free/id381091241,4.0 ,11,,"Why pay more for your favorite dice game?Also includes a variant -- Chinese Yacht!  Yahtzee lovers will find this variant to be an intriguing and addictive twist on the original.  In the variant, which is based on Chinese Poker, you roll 10 dice at a time.  You then sort the dice into two groups of 5, and score both groups.Pick your favorite of five different visual themes.  For those of you who preferred the original theme, it is still available under options>themes.Compare to Yahtzee!
",William Jockusch,7.8 MB,English,4+,Free,30 de mar. de 2016,https://is3-ssl.mzstatic.com/image/thumb/Purple69/v4/1c/85/2f/1c852fac-f9ee-f996-579f-7493e089e93f/mzl.lfgiticu.png/230x0w.png,,Games
Yacht Game,https://apps.apple.com/us/app/yacht-game/id622350345,3.0 ,2,Dice game,"Yacht is a dice game, similar to the Latin American game Generala, the English game of Poker Dice.You can roll the dice up to three times.You must put the score even if you don't have a combination.Try to score the highest amount you can. This app contains the following well-known rules.-Yacht-Yacht (wikipedia rule)-Yatzy
",Googolplex ltd.,10.3 MB,"English, Japanese",4+,Free,"Sep 29, 2019",https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/54/48/27/54482794-2cac-74a4-5d06-2bc16e0d54cd/AppIcon-0-0-1x_U007emarketing-0-0-0-7-85-220.png/230x0w.png,,Games
Yacht HD,https://apps.apple.com/us/app/yacht-hd/id400326263,5.0 ,2,,"Yacht HD is a new dice game designed exclusively for your iPad. Players take turn rolling five dice to score big with a straight, full house, four of a kind, Yacht, or Chance combination. You may also know this game as Cheerio, Yot, Yam, Yahtzee™, or General. Yacht HD not only has real dice rolling physics, but takes advantage of your entire ipad screen to show you how all of your dice score and your past dice rolling combinations.Challenge your friends and family or go head to head with a clever computer player. Yacht HD also supports Solitaire play.Graphics, sound effects, and physics bring the dice rolling action to life. Customize your game by naming your human and computer players, choosing from 16 player images, and setting each computer player's difficulty.Try Yacht HD today!Better Day Wireless. Better Apps. Better Value.Yahtzee™ is a registered trademark of Hasbro Inc.
","Better Day Wireless, Inc.",16.1 MB,English,4+,Free,24 de nov. de 2014,https://is3-ssl.mzstatic.com/image/thumb/Purple5/v4/c4/62/31/c4623132-f986-ffa7-19d2-72ec9927eefe/pr_source.png/230x0w.png,,Games
Yacht Racing Game,https://apps.apple.com/us/app/yacht-racing-game/id1244722434,4.3 ,19,Sailing race simulation game,"I made this game for all sailors.Easy way to control. Tap to tack, long-press to change the direction to where you want to go. That's it.You can change the setting of environment and boats as you need.This game can be helpful for beginners who will start yacht racing.【About Sailing】-Sailing is a sport advances by wind power.-When a yacht is travelling upwind by 45 degrees, it is sailing ”close-hauled”.-When a yacht is travelling diagonally to the left towards upwind, it is sailing ”starboard”.-When a yacht is travelling diagonally to the right towards upwind, it is sailing ”port”.-The maneuver of turning between ”starboard” and ”port” is called ”tack”.-Make a series of tacking moves in a zig-zag fashion, and lead your yacht to the finish line!!-New courses have been added.【About ""Right of Way""】-Starboard yacht has the right of way.Boats on a port tack shall keep clear of boats on starboard tack.-If you meet with starboard boat when you are on a port tack, you have to tack or bear not to hit.-When a boat is tacking it shall keep clear of boat that is not tacking. You need to check whether there is no ship around you, before start tacking.-If you hit another ship without your right of way, you will be ""DSQ""(disqualified), which means ""game over"".(*These are simple rules for game.)
",Shota Utsumi,81.2 MB,English,4+,Free,"May 5, 2020",https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/98/ae/db/98aedb8a-1710-8f98-13dc-034bcc0b675f/AppIcon-1x_U007emarketing-0-7-0-85-220.png/230x0w.png,,Games
Yacht Rescue,https://apps.apple.com/us/app/yacht-rescue/id1491887208,3.7 ,3,Rescue the boat,"Keep the yacht running away the wave  chasing, be the bravest sailor!It is a super exciting mobile game.Welcome and enjoy Yacht Rescue now!
",Pickaxe Technology LLC,244.8 MB,"English, Arabic, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",4+,Free,"Mar 4, 2020",https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/1d/d0/b9/1dd0b979-d248-6024-0bb4-e80cf25ba52d/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/230x0w.png,,Games
YachtSkipper,https://apps.apple.com/us/app/yachtskipper/id1386804034,,,,"The gameboard is a ficticious nautical chart which is divided into three sections ie Daylight, Night time, and a Fog area. There are seven ports on the chart and players navigate their vessels across the chart to visit all the ports, the first player to have visited all the ports is the winner.At the start of the game, players choose the type of vessel they wish to control from a pack of cards ie Sailing vessel, Fishing vessel, Constrained by draught etc. and prepare their vessels with the correct day shapes and navigation lights shown on the card. The fog signal for the vessel is also noted. Players then move their vessels with the throw of a die, changing the lights/ dayshapes as they enter the different sectors on the chart and sounding the correct fog signal in the fog sector.Landing on a square prompts a Situation Card to be selected and players follow the instructions on the card. Some squares are marked with a question mark and landing on one of these prompts a question from the Question Cards. A correct answer to a question advances the vessel (the answers are on the card) whereas an incorrect answer retreats the vessel.Questions at Competent Crew level are included in the free version of the game. More advanced questions at Day Skipper and Yachtmaster levels are available as an ‘In App’ purchase.
",John Younghusband,81.9 MB,English,4+,Free,"Oct 25, 2018",https://is1-ssl.mzstatic.com/image/thumb/Purple128/v4/97/cb/db/97cbdb8d-5b72-4136-a660-e9f8c12ebc8a/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-7.png/230x0w.png,Yes,Games
Yachty,https://apps.apple.com/us/app/yachty/id477439020,4.8 ,1.8K,,"Yachty Deluxe: A traditional yahtzee(tm) like dice game, suitable for all ages. You've tried the rest, now play the best - with your friends.Video here: http://www.youtube.com/watch?v=YiGaQQ57wyg ONLINE MULTIPLAYERPlay and beat anyone in the world using your Game Center account. You can play multiple games at once, but at a pace that suits you.SOLO MODEA standard yachty patience game for one player.TRIPLES MODEA more in-depth patience game for one player, using three scoring columns.PASS & PLAYA two-player game needing no internet connection - just pass the device to your friend when you've taken your turn.LEADERBOARDSThere are several Game Center leaderboards to register your best scores on. Can you be the best?ACHIEVEMENTSWith twenty different Game Center achievements to chase down, you will never be short of extra challenge.REALISTIC DICEThe dice are rendered in full 3D and shaken using an advanced physics simulation. This brings an unprecedented level of realism to iOS dice gaming.HOW TO PLAYRules of the game, for all gameplay variants, are included within the game.If you're a yahtzee(tm) addict then this is the best game for you.
",Rubicon,40.5 MB,English,4+,Free,21 Jan 2020,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/29/b3/06/29b3061f-cbe7-3501-40cc-7ed335dca8de/AppIcon-0-0-1x_U007emarketing-0-0-0-10-85-220.png/230x0w.png,Yes,Games
Yacopter,https://apps.apple.com/us/app/yacopter/id651934009,4.4 ,7,,"Fly your helicopter as far as you can.This is a very simple game: you control the helicopter by tapping the screen to go up and releasing to go down. The goal is to dodge your way trough a cave, flying as far as you can without touching the walls. When you collect 8 consecutive stars of the same color you get invincible for a short period of time.There is a secondary mode, where you have to advance into an enemy territory while avoiding fires.This is a game I did while trying to do some dynamic light rendering in 2d.
",Noctua Software Ltd,4.5 MB,English,9+,Free,"Feb 23, 2015",https://is3-ssl.mzstatic.com/image/thumb/Purple3/v4/1c/66/da/1c66da5e-9625-6f5a-2c03-887d4a598c86/pr_source.png/230x0w.png,,Games
YADA,https://apps.apple.com/us/app/yada/id1450429445,5.0 ,3,,"Kafanızı yakacak çelişkili sorularla karşı karşıya kalmak ve arkadaşlarınızla eğlenceli vakit geçirmek ister mısınız? Arkadaşlarınızla otururken canınız mı sıkılıyor? YADA’yı açın ve kafanızı yakacak sorulara cevap vermeye çalışın. Sorular üzerinde arkadaşlarla konuşun, başka kullanıcıların neyi daha çok tercih ettiğini görün, yer yer eğlenceli yer yer düşündürücü sorularlarla zamanın nasıl geçtiğini anlamayacaksınız.
",Muhammet Mehmet Emin Kartal,11.3 MB,Turkish,9+,Free,30 mart. 2019,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/73/a0/8d/73a08de6-63df-b0bc-85ec-16f3f1d82a81/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-7.png/230x0w.png,Yes,Games
Yaga The Roleplaying Folktale,https://apps.apple.com/us/app/yaga-the-roleplaying-folktale/id1473997515?mt=12,,,Clobber legends of Slavic myth,"Smash, clobber and bash the murderous legends of Slavic mythology in this darkly funny action role-playing game that changes every time you play. Play as Ivan, a one-handed blacksmith with incredibly bad luck, who must take on the impossible tasks given to him by the tzar. All the while the mysterious witch, Baba Yaga, watches over Ivan's fate. The world of Yaga is a world steeped in Slavic folklore and ancient Pagan beliefs. Featuring a head-bobbing Romanian hip-hop soundtrack from Subcarpați and striking, hand-drawn 2D artwork. Yaga is an authentic love letter to childhood fables from Romanian indie developer, Breadcrumbs Interactive.• Bludgeon the ancient monsters of Slavic folklore using a vast arsenal of hammers and tools forged by Ivan's own hands.• Your actions change Ivan's story, his reputation, and the upgrades he can choose.• Experiment in the deep forging system to make weapons like teleporting lightning hammers and hookshot pitchforks.• Explore the combinations of talismans, magic items, blessings, perks, and curses to fundamentally change how Ivan plays.• Multiple endings, multiple ways of solving encounters, procedural map, lots of characters to encounter, and hidden secrets mean Yaga is meant to be played over and over again.• Ivan's grandma just wants him to find a wife. Don't disappoint her!
",Versus Evil,1.4 GB,English,9+,,"May 14, 2020",https://is4-ssl.mzstatic.com/image/thumb/Purple123/v4/10/fa/67/10fa67cd-f56c-10e3-94d3-069b881a2678/PlayerIcon.png/230x0w.png,,Games
Yagami,https://apps.apple.com/us/app/yagami/id1504688918,,,Turn the stage on!,"Swipe to tilt the stage.Collide with all the stage parts in order to light it up completely!-Improved physics to give a fun feeling to the player-Creative levels using pixel arts and brain-challenging puzzles-Haptics effects on recent devices-3D environment to relax while playing, and more coming soon!Enjoy a free game without ads :)
",Loic Lespect,92.6 MB,English,4+,Free,,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/1e/8d/1d/1e8d1d8a-56ee-e579-915b-a0359bd47a1f/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/230x0w.png,,Games
Yagu,https://apps.apple.com/us/app/yagu/id1529018149,,,Yagu game and news,"Play number yagu game (Bulls and Cows) and check Baseball schedule and result. Also able to check videos and articles
",iljoo chae,3.8 MB,English,4+,Free,,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/f5/6c/fd/f56cfdab-5dc8-e60c-1650-fe5ee6f09774/AppIcon-1x_U007emarketing-0-8-0-sRGB-85-220.png/230x0w.png,,Games
Yahhoo,https://apps.apple.com/us/app/yahhoo/id586573621,5.0 ,1,,"[About this game] This game aims at you of tiredness feeling little peacefulness in a social game or a continuous-hits game. Impression which begins from やっほ- with an unknown animal. Please experience the warmth which is not in other games. [Game explanation] やっほ -... It is the language of magic. Even if コトバ does not lead and a feeling is not known It can become friends if there is やっほ -. Even if it falls and is sufficient for a feeling and the belly hurts It can become fine if there is やっほ -. It was good to be born to Japanese people! There was やっほ - and it was good!! Thank you! やっほ - This game is a game which can realize importance of such やっほ -. Now, you will also download right now and will begin a comfortable やっほ-life!
",capsule+,40.4 MB,"English, Japanese",4+,Free,"Nov 3, 2016",https://is4-ssl.mzstatic.com/image/thumb/Purple71/v4/af/f9/f6/aff9f661-45e1-b98b-248a-d2a92dd375a3/mzl.yavputhr.png/230x0w.png,,Games
Yahhoo - Jump Rope,https://apps.apple.com/us/app/yahhoo-jump-rope/id1147502994,,,,"[About this game] This game aims at you of tiredness feeling little peacefulness in a social game or a continuous-hits game. Impression which begins from Yahhoo with an unknown animal. Please experience the warmth which is not in other games. [Game explanation] Yahhoo... It is the language of magic. Even if Yahhoo does not lead and a feeling is not known It can become friends if there is Yahhoo. Even if it falls and is sufficient for a feeling and the belly hurts It can become fine if there is Yahhoo. It was good to be born to Japanese people! There was Yahhoo and it was good!! Thank you! This game is a game which can realize importance of such Yahhoo. Now, you will also download right now and will begin a comfortable Yahhoo life!
",capsule+,35 MB,"English, Japanese",4+,Free,,https://is5-ssl.mzstatic.com/image/thumb/Purple71/v4/5a/8d/e8/5a8de82f-8b97-2dc2-6289-dc09d54b9941/pr_source.png/230x0w.png,,Games
