Qroon,https://apps.apple.com/us/app/qroon/id1354363903,,,,"---------------------
はさんで消す新感覚パズルゲーム！！
簡単操作で奥深いパズルをどうぞ！
---------------------

◆新感覚パズルゲーム
1つの十字キーで全ての青丸を同時に操作！
壁をうまく使って青丸を操ろう！！

◇単純明快なルール
青丸で赤丸をはさんで消すだけ
全ての赤丸を消せばクリアだ！
ただそれだけなのに奥が深い！！

◆多種多様なギミック
壁を押すことで動かせたり、一緒にはさむことで壁が壊せたり
多種多様なギミックが登場！
うまく使いこなしてクリアしよう！

◇豊富なギミックの組み合わせ
ギミックは1つだけでもいろんな活用法があり、
組み合わさることで新たな解き方が誕生するぞ！
ギミックの組み合わせによる豊富なパズルを楽しもう！

◆アクション要素も
パズルだけではなくちょっとしたアクションも登場！
スリルあるパズルを攻略せよ！！

◇スキップ可能
わからないパズルがあっても次のパズルに挑戦できるぞ！
他のパズルを攻略してから再挑戦すると解法が閃くかも

◆気軽にプレー可能
暇つぶし、気分転換、頭の体操などに最適
このアプリは完全無料なので、誰でも安心して利用できるぞ！


      more
    
",Yuna Ohashi,67.9 MB,English,4+,Free,26-Sep-19,https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/43/ff/0c/43ff0c56-4b61-c713-0bf2-f07b4ea28e45/AppIcon-0-0-1x_U007emarketing-0-0-0-9-85-220-0.png/230x0w.png,,Games
Qryppo（クリッポ）,https://apps.apple.com/us/app/qryppo-%E3%82%AF%E3%83%AA%E3%83%83%E3%83%9D/id1413162290,,,,"◆無料で参加して賞金GET！平均賞金獲得率約５０％！
◆Qryppo（クリッポ）は毎日夜１０時から生放送中（火・水はお休み）
◆あなたはMCを信じる？コメントを信じる？



【Qryppo（クリッポ）ってなに？】

◆無料で遊べて高確率で賞金GET
◆純粋な雑学クイズ
◆「え、そっち！？」な謎解説

賞金をかけて全７問のクイズにタップして挑戦する生放送クイズ番組です。全問正解した参加者で賞金を山分けします。
　
Qryppoでは、MCと参加者同士が一緒に協力して全問正解を目指します。平均賞金獲得率は約５０％です。



【MCは誰なの？】

MCを務めるのは、

・ヒガ2000　(Twitter：@higasanblack)
・Yes!アキト　(Twitter：@yumeakito)

の２人のお笑い芸人です。ネタやギャグはもちろんのこと、気の利いた正解予想やエピソードトークなどのトーク要素も満載で、二人が楽しくお届けします。



【生放送ってどんな感じに進むの？】

２１時５０分 - ２２時００分：
コメント職人が織りなす珠玉の『大喜利タイム』

２２時００分 - ２２時１５分：
メインの賞金がもらえる『クイズ大会』
※途中参加の場合回答はできません。閲覧のみになります。

２２時１６分 - ２２時２０分：
その日のクイズの感想を参加者同士でおしゃべりする“のりしろ”みたいな落ちつく時間



【Qryppoの使い方】

放送時間になったらアプリを立ち上げるだけ！

■通知設定
プッシュ通知を許可すると、放送開始の直前にプッシュ通知が届いて参加に遅れることがなくなります。

現在の通知設定の確認は、iPhoneの設定から、
[設定]>[通知]>[Qryppo]で確認できます。



【こんな方におすすめ！】
・毎日家でテレビをみていて飽きてきている方
・オンラインクイズが好きな方（特に雑学、知識、トリビア）
・クイズをみんなと一緒にプレイしたい方
・早押しクイズなら負けないよという方
・いま大人気のライブクイズゲームをプレイしたい方
・だれかと絡むのが好きな方
・暇つぶしになにかいいアプリはないかと探している方
・毎日寝る前に優しい気持ちになりたい方
・一日の終わりの前に笑ってリフレッシュしたい方
・家でもみんなでチャットを楽しみたい方
・ライブ配信アプリが好きな方
・スマホ、タブレットで見られる動画アプリを探している方
・稼ぐクイズゲームアプリを探している方
・稼ぎながら脳トレがしたい欲張りな方
・「ひまつぶしにみんなを助けたるか」というかっこいい方
・ただ応募するだけの懸賞アプリに飽きた方
・なんだか最近寂しさを感じている方



【お問い合わせ】
不具合報告、その他お問い合わせは下記アドレスまでお問い合わせください。
support@skrum.co.jp


      more
    
",Skrum Inc.,157.9 MB,"English, Japanese",17+,Free,16-Aug-19,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/f5/90/fc/f590fc23-a1b0-1b62-0a8c-ee1b4b47a484/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-7.png/230x0w.png,,Entertainment
Qs: Shake Up Your Group Text,https://apps.apple.com/us/app/qs-shake-up-your-group-text/id1498690092,3.8,6,A question a day. Endless fun.,"What’s something you should know how to do by now but don’t? Are hot dogs sandwiches? Choose a photo from your camera roll that best represents 2020.

Introducing Qs--the simple app for friends. With just a few minutes a day, you’ll stay connected and keep one another laughing.

Invite a group of friends or family members to join you for the easiest game around--you can play on your own time throughout the day, so no need to coordinate everyone’s availability. Each day the app will prompt you all to answer a Q-- from silly to serious--and then will share the answers for you to discuss.



      more
    
",Moment Health Inc.,59.8 MB,English,4+,Free,12-Sep-20,https://is4-ssl.mzstatic.com/image/thumb/Purple114/v4/1c/a8/98/1ca898b4-745b-9e6c-0677-41b4e1f65402/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/230x0w.png,,Games
QT-5 Rush,https://apps.apple.com/us/app/qt-5-rush/id529680778,4,6,,"QT-5 Rush is an action game about robots.

Warning:This's a indie game.

The game gives you vast possibilities to customize your own robot using 6 properties.

You can get almost 50 different pieces of equipment, which can be mixed into a thousand combinations.

In the game, you will find abundant robotic hardware and unique skills, 4 planet scenes, each with their particular boss.

Story:On an abandoned planet, there are still a small amount of resources.

Some robots were left to finish the collection.

A revolution against human’s domination was broken out since some robots suddenly gained the ability of logic.

Except for you—loyal Alex—a robot with high study ability. So you became the enemy of those ambitious robots.

Can you rescue Dr. S and  revenge your good friend, Halley?

Who gave those robots the logic ability?

These mysteries are expecting for you to unravel…


      more
    
",凯 冯,23.1 MB,English,9+,Free,16-Oct-12,https://is2-ssl.mzstatic.com/image/thumb/Purple128/v4/5b/b6/02/5bb602b2-2812-1648-3406-7e7262ecf5f0/contsched.catrsgfa.png/230x0w.png,,Games
QTS Wizard - Mental Test,https://apps.apple.com/us/app/qts-wizard-mental-test/id1011794405,,,,"QTS Wizard - Mental Arithmetic is a multiple-choice based Maths Quiz program designed for an audience who are interested in additional training resources for preparing the Professional Skills Test in the UK with an aim of achieving the Qualified Teaching Status (QTS).  Specifically, this program provides a set of mental arithmetic questions typical in the QTS Numeracy test for the users to practise and improve their skills and techniques.
 
App Features:
 
*  Over 50 types of mental arithmetic multiple-choice questions, organised in 3 categories:
   -- Arithmetic
   -- Fractions, Decimals and Percentages
   -- Time, Money and Conversion
*  Powerful question generation engine: all questions are parameterised and auto-generated, providing virtually unlimited possibilities.
*  3 modes: Free Play, Time Trial, and Quiz Play.
*  Save user reports in pdf for Time Trial and Quiz Play.
*  Create worksheets in printable pdf for offline usage.
*  Share reports and worksheets by Email and Air Print.
*  Highly Customisable.  For example, option to select a specific maths category, or all 3 categories, for the generated questions.
*  Option to restrict access (by hiding) to the Reports and Worksheets functions.
*  Performance monitoring for each maths categories.
*  Universal App - works on iPhone and iPad devices.

Customers, thank you for your support. If you find this app useful, please rate and give us a review!

Disclaimers:
*  This program is not affiliated with the official QTS exam board or the UK Department of Education. 
*  This program does not mimic the exact format of the QTS Mental Arithmetic test; i.e. the questions are presented in a multiple choice format instead of a verbal format.
*  This program does not cater for the Literacy section of the QTS test.


      more
    
",King Wong,4.7 MB,English,4+,$3.99 ,25-Sep-17,https://is2-ssl.mzstatic.com/image/thumb/Purple118/v4/e5/4d/24/e54d243f-82a8-4eb1-4015-94905afcbf13/AppIcon-1x_U007emarketing-85-220-7.png/230x0w.png,,Education
QTS Wizard - Written Test,https://apps.apple.com/us/app/qts-wizard-written-test/id1020814451,,,,"QTS Wizard - Written Data and Arithmetic is a multiple-choice based Maths Quiz program designed for an audience who are interested in achieving the Qualified Teaching Status (QTS) by sitting the Professional Skills Test in the UK.  Specifically, this program provides a set of typical written data and arithmetic questions for the users to practise and improve the skills and techniques required in the QTS Numeracy written test.
 
App Features:
 
- Over 50 types of multiple-choice based written data and arithmetic questions, organised in 3 categories:
   -- Table and Data 
   -- Graphs and Charts (bar charts, box-and-whisker diagrams, cumulative frequency graphs, line graphs, pie charts and scatter graphs)
   -- Arithmetic 
-  Powerful question generation engine: all questions are parameterised and auto-generated, providing virtually unlimited possibilities.
- 3 modes: Free Play, Time Trial, and Quiz Play.
- Save user reports in pdf for Time Trial and Quiz Play.
- Create worksheets in printable pdf for offline usage.
- Share reports and worksheets by Email and Air Print.
- Highly Customisable.  For example, option to select a specific maths category, or all 3 categories, for the generated questions.
- Option to restrict access (by hiding) to the Reports and Worksheets functions.
- Performance monitoring for each maths categories.
- Universal App - works on iPhone and iPad devices.

Customers, thank you for your support. If you find this app useful, please rate and give us a review!

Disclaimers:
*  This program is not affiliated with the official QTS exam board or the UK Department of Education. 
*  This program provides multiple choice as an answering format and does not provide other formats such as ""fill in the bank"", ""drag and drop"" or ""hot spot"".
*  This program does not cater for the Literacy section of the QTS test.


      more
    
",King Wong,4.3 MB,English,4+,$3.99 ,25-Sep-17,https://is3-ssl.mzstatic.com/image/thumb/Purple128/v4/33/1a/4f/331a4fa9-c7b8-3831-bff9-78c905e1d8a3/AppIcon-1x_U007emarketing-85-220-7.png/230x0w.png,,Education
QTV - Quiz TV Spells. Trivia For All Magic Wand Games Fans,https://apps.apple.com/us/app/qtv-quiz-tv-spells-trivia-for-all-magic-wand-games-fans/id1078778541,,,,"***  - 50% OFF FOR A VERY LIMITED TIME! PLAY THE SUPER HIT HARRY POTTER QUIZ GAME ON YOUR Apple TV NOW! ***

Are you an Harry Potter ultimate fan? Do YOU really all the HP spells, charms and curses? Prove it. Download Quiz TV and show your friends who's the REAL Harry Potter fan! This is massive 100 trivia questions and the ultimate test for real HP fans! NO ads and NO IAP so very safe to play with your kids and grandkids :)


Features:
• Tons of quiz questions (100 Q/A to be exact!)
• NO ADS + NO In-app purchase to worry about
• Enjoy it with friends, children or grand children on a big screen!


See any errors? Please help us by contacting us at:

info@lairdtopfreegames.com

Give us the question# and your potential correction and we will take care of the rest!   Your feedback is very important to us

 
VISIT US: http://lairdtopfreegames.com/
FOLLOW US ON TWITTER : https://twitter.com/lairdgames


      more
    
",Mohamed Bennouf,10.1 MB,English,4+,$0.99 ,5-Feb-16,https://is2-ssl.mzstatic.com/image/thumb/Purple118/v4/af/3e/c4/af3ec41e-6396-3a0f-10a9-a6c65862f445/contsched.kemnslno.lsr/313x0w.jpg,,Games
Qu Game,https://apps.apple.com/us/app/qu-game/id854159268,5,5,,"Reconnect with the slower paced life of social gaming! It's easy to get started, find a friend or family member and play against them. The objective of this two player turn based game is to make a path across the board - sounds simple - give it a try! Simple game play allows you to be nice or play nasty! Both players try to make a path of one color from the center line that reaches both ends of the board.You need to be signed into Game Center to play, and iCloud to roam your opponent list
",1791 Entertainment LLC,15.2 MB,English,4+,Free,7-Sep-20,https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/2d/2c/fe/2d2cfe38-54ae-3a06-2871-f779c6ecaae0/AppIcon-1x_U007emarketing-3-0-0-85-220.png/230x0w.png,,Games
Qua Song IQ,https://apps.apple.com/us/app/qua-song-iq/id909868070,3.6,7,,"Một game trí tuệ siêu khó, mỗi tuần ra một level mới
Mục tiêu : đưa một nhóm người hoặc vật phẩm sang bên bờ kia của dòng sông.
Bạn làm thế nào có thể đưa được sói, cừu, bắp cải qua được sông?
Bạn làm thế nào có thể đưa 3 nhà sư và 3 con quỷ qua được sông?
Hiện tại game có 27 level, mỗi level đều yêu cầu người chơi phải động não, sử dụng IQ của mình để qua được.
Dữ liệu phong phú.
Update thường xuyên.
Facebook : https://www.facebook.com/quasongiq
Hướng dẫn :
Nhấn vào nút Go để di chuyển thuyền qua lại các bờ sông.
Nhấn vào nút Help để biết thêm về các luật game.
Nhấn vào nút Share để chụp ảnh màn hình, chia sẻ với bạn bè trên facebook.


      more
    
",techplus jsc,30.3 MB,English,4+,Free,15-Mar-15,https://is5-ssl.mzstatic.com/image/thumb/Purple3/v4/3d/c2/be/3dc2becd-f4ec-56ea-7f0a-837dca1effd8/mzl.darnewwk.png/230x0w.png,,Games
Qua Song IQ 2,https://apps.apple.com/us/app/qua-song-iq-2/id961876887,5,1,,"Mô tả
Qua sông IQ 2 là phiên bản tiếp theo của tựa game IQ nổi tiếng Qua sông IQ. 
Game gồm tập hợp rất nhiều câu đố trí tuệ siêu khó. 
Thu thập những ngôi sao trong từng màn chơi để mở khóa những Block tiếp theo. 
Chinh phục tất cả các màn chơi trong thời gian ngắn nhất để trở thành người đứng đầu “Bảng xếp hạng” IQ.
Dữ liệu phong phú.
Update thường xuyên.
Facebook: http://www.facebook.com/quasongiq
Website: http://gamemost.vn/
********* Kiến Trúc Game *********
Hiện tại game có 10 Block với 32 Logic khác nhau.
Hệ thống thành tựu phong phú độc đáo.
Bảng xếp hạng chỉ số IQ của từng người chơi.
Người chơi tích lũy càng nhiều ""sao"" và tổng thời gian chơi của các bàn càng ngắn thì xếp hạng càng cao.
********* Hướng dẫn *********
Nhấn vào Biểu tượng của từng Logic để chọn màn chơi tương ứng
Nhấn vào nút “Bảng xếp hạng” để cập nhật điểm số của bạn trên Bảng xếp hạng
Nhấn vào nút “Help” để biết luật chơi cho từng màn chơi.
Nhấn vào nút “Sao” để biết thành tựu chi tiết trong từng Logic
Nhấn vào nút “Share” để chụp ảnh màn hình, chia sẻ với bạn bè trên facebook.


      more
    
",techplus jsc,30.5 MB,English,4+,Free,7-Feb-15,https://is1-ssl.mzstatic.com/image/thumb/Purple1/v4/2b/a4/00/2ba4000f-dbd1-225b-38a4-35a44b49cc83/pr_source.jpg/230x0w.jpg,,Games
Qua Sông 3,https://apps.apple.com/us/app/qua-s%C3%B4ng-3/id1012319483,,,,"Là tựa game kế tiếp trong chuỗi game Qua Song IQ.
Vẫn là tư duy logic để vượt qua các câu hỏi trong game, tuy nhiên bộ câu hỏi sẽ phong phú hơn qs1 và cũng đơn giản không hóc búa như qs2.
Các câu hỏi trong game phong phú và đa dạng , thao tác đơn giản dễ hiểu.
Hệ thống +Gcoins cho phép bạn mua các câu trả lời trong game khi gặp khó khăn trong các màn chơi. Gcoins có thể kiếm được bằng cách chơi qua các màn. Hoặc mua từ hệ thống.
Bảng xếp hạng IQ để đánh giá người chơi. Bảng xếp hạng yêu cầu được quyền truy nhập facebook.
Trả lời được càng nhiều câu hỏi trong thời gian càng ngắn thì IQ càng cao.
Hãy cùng chúng tôi khám phá sự đột biến trong Qua Sông 3 các bạn nhé


      more
    
",techplus jsc,16.1 MB,English,4+,Free,4-Aug-15,https://is5-ssl.mzstatic.com/image/thumb/Purple7/v4/49/ac/34/49ac3450-6ecf-7589-0542-ed7d45833eaf/pr_source.jpg/230x0w.jpg,,Games
Qua Sông IQ - Hoàng Hôn,https://apps.apple.com/us/app/qua-s%C3%B4ng-iq-ho%C3%A0ng-h%C3%B4n/id1214622189,,,,"+Qua Sông IQ - Hoàng Hôn - Game Logic hay nhất mọi thời đại.
+Đưa 5 người qua sông, mỗi lần thuyền chở được tối đa 2 người và thời gian đi của từng người là 1s, 3s, 6s, 8s, 12s. 
+Nếu thuyền chở 2 người thuyền sẽ đi theo vận tốc của người chậm hơn. 
Trong 30s hãy đưa cả gia đình qua sông.
+Chở 3 cặp vợ chồng qua sông, thuyền chở tối đa được 2 người và các ông chồng 
không cho phép ở với người đàn ông khác mà không có mặt mình ở đó.
+Hướng dẫn:
- Click vào các nhân vật để đưa chúng lên thuyền.
- ""Let's Go"" : Đưa thuyền sang bên kia sông.
- ""Help"" : Xem yêu cầu để qua bàn.
- ""Share"" : chụp ảnh màn hình chia sẻ facebook.
- ""Answer"" : Xem gợi ý.


      more
    
",Tiep Le,20 MB,English,4+,Free,,https://is3-ssl.mzstatic.com/image/thumb/Purple111/v4/a2/d8/f3/a2d8f332-2095-e3e2-ef44-48231a13d932/pr_source.jpg/230x0w.jpg,Yes,Games
Qua Sông Phá Án,https://apps.apple.com/us/app/qua-s%C3%B4ng-ph%C3%A1-%C3%A1n/id1426179210,,,,"Qua Sông Phá Án - Giải Đố Logic - Thử thách IQ
-----------------------------------------------

Giải mã những câu đố logic, tập làm thám tử điều tra phá án!

Game mở ra những câu đố hay ho hóm hỉnh hiểm hóc hãi hùng!

Bạn phải suy luận đau đầu hại não nhằm tìm ra cách qua sông, đưa người đưa vật qua sông.

Những vụ án ly kỳ bí ẩn đang chờ được điều tra phá án truy lùng thủ phạm.

Những mật mã hóc búa rắc rối cần được mở khóa.

Câu chuyện về các vụ án truy bắt tội phạm hay câu đố trinh thám luôn có sức hút mê hoặc đối với nhiều người. Chắc hẳn thời thơ ấu, bạn đã từng mơ ước trở thành một thám tử lừng danh với biệt tài phá án siêu khủng?

Hãy thử tài phán đoán của mình qua các nhiệm vụ trong game, chúng sẽ giúp bạn gia tăng và cải thiện được khả năng tư duy logic, phán đoán và kích thích phát triển não bộ.

Thường xuyên giải đáp và luyện tập những câu đố logic sẽ giúp bạn phản ứng nhanh hơn trước các thử thách của cuộc sống.
Nhiều câu đố cấp tiểu học dường như rất đơn giản nhưng đôi khi người lớn hay thậm chí cả thiên tài cũng chưa chắc giải đáp nhanh được.

Có những câu hỏi cực kỳ hóc búa khiến bạn phải nghi ngờ chính IQ của mình.

Thử tài thám tử với những vụ án có hiện trường dàn dựng tinh vi, liệu bạn có giải được?

Những câu đố tưởng không khó mà khó không tưởng.
Những câu đố tưởng không dễ mà dễ không tưởng.

Mời các bạn cùng tham gia!


      more
    
",WePlay Media and Technology Joint Stock Company,22.5 MB,English,4+,Free,20-Aug-18,https://is5-ssl.mzstatic.com/image/thumb/Purple118/v4/e0/87/e7/e087e7be-79cd-9691-dac1-c0218c3cc42c/AppIcon-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-9.png/230x0w.png,,Games
Quack Dragon,https://apps.apple.com/us/app/quack-dragon/id875175134,4.5,4,,"• Get ready for a Quack-tastic adventure with Quack Dragon!.
• Take to the skies and pop the balloons with your mighty dragon claws!
• Dodge obstacles and explore colorful environments in beautiful HD!
• Grab yourself a hot pepper to unleash your dragon breath ability!
• GameCenter leaderboards let you challenge your friends!
• Become the dragon you were meant to be! Quack!


      more
    
",Wade Arcade,57.8 MB,English,4+,Free,4-Aug-17,https://is5-ssl.mzstatic.com/image/thumb/Purple118/v4/1c/44/92/1c4492e7-11ea-33ca-393e-5d535268e0a8/mzl.cjmvabqa.png/230x0w.png,,Games
Quack Hit - Duck smash game,https://apps.apple.com/us/app/quack-hit-duck-smash-game/id1420043971,4.8,9,Tap & click to hydraulic press,"Quack Hit is a funny one hand game with minimalistic design that provides a great way to relieve stress.

You have to manage the hydraulic press and smash rubber ducks. Be careful: avoid the red buttons and orange capsules!

Follow the indicator of lives directly on the press and collect bonus lives. If you miss three ducks and don't restore a life then the game will end. The pace of the game is gradually increasing, so it will be more difficult to be a duck crasher. Test your reaction now!


      more
    
",Ylee Studio,92.9 MB,English,9+,Free,31-Jan-19,https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/30/33/19/30331966-110c-a7f0-2cf9-f214d84fae39/AppIcon-0-1x_U007emarketing-0-85-220-0-7.png/230x0w.png,Yes,Games
Quack Quack Duck popper Sounds,https://apps.apple.com/us/app/quack-quack-duck-popper-sounds/id1022782754,4.9,18,Best Ducks Noises balloon Game,"Quack Quack Quack Quack...The Quack Quack Ducks are here!!!Simple, funny and eye catching. Just watch your kids roll over and laugh as they enjoy this funny Quack Quack Duck Popping game.Nursery Rhymes Running in the background, the kids will enjoy for hours on this simple Duck popping Game.Five Little Ducks went out one day!Watch your little one enjoy the music and the little ducks. Play the challenge mode and more.Try it today !
",Farhan Taqi,57.2 MB,English,4+,Free,18-Dec-19,https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/a3/9b/69/a39b6944-e0b3-64b0-b46d-2d5877c4974b/AppIcon-0-1x_U007emarketing-0-0-85-220-0-10.png/230x0w.png,Yes,Games
