X Invasion,https://apps.apple.com/us/app/x-invasion/id333258625,3.0 ,308,,"Do you have what it takes to save San Francisco from an alien invasion?San Francisco is under attack from an invasion of alien ships and UFOs! It’s up to you and your trusty WWII Corsair single prop fighter plane to save the city! Will you have what it takes to take on the X Invasion?X Invasion’s realistic free roaming 3D technology means you are free to decide how your adventure unfolds. Blasting everything in sight is great stress relief! Or test your accuracy as a sniper. Or simply enjoy a relaxing flight over the beautiful San Francisco Bay Area.X Invasion includes two modes of play: Career Mode and Timed Mode. In Career Mode, accumulate medals of honor through multi-level play as you progress in experience all the way to the prestigious Top Gun ranking. In Timed Mode, blast your way to infamy on X Invasion’s real-time high scores list. UNIQUE GAMEPLAYX Invasion is not an ultra-realistic flight simulator with complex controls that take hours of frustration to master. Instead, X Invasion is a fun fast-paced retro-style shoot-em up. Remember the side scrollers and top-down shooters from the arcades? They weren't hard to learn, but they were insanely  fun because you could pound frantically on the fire button to destroy everything in sight.  X Invasion takes this simple concept but extends it with true free roaming 3D graphics!MAIN FEATURESAdvance through over 100 levels of play on your way to becoming a Top Gun in Career Mode, or experience the intensity of Timed Mode play!Fly over geographically accurate views of the San Francisco Bay Area in a true 3D free roaming environment!  Fly over and around real landmarks, streets and scenery. Ever want to land ON the Golden Gate Bridge? Ever want to fly over downtown San Francisco at 1000 MPH? You can with X Invasion!Take on various alien ships, from speedy scout ships flying in formation to spinning UFOs with glowing lights to gigantic motherships that take on real damage!Compare your fighting ability with other pilots who have taken on the X Invasion.  Will you be the first to reach the status of Top Gun, or will you choose to have the highest accuracy rating? Your success will be displayed for all in a fully integrated real-time scores list.Simple and intuitive controls. Tilt and rotate the device to move, slide your finger up/down on the right side of the screen to control your speed, tap anywhere on the screen to shoot. Spend more time playing, not learning difficult controls!WHAT'S NEWWe listened to your comments and made this version of X Invasion better than ever.  Watch out, the aliens shoot back at you now!  But if your health is getting low, enemies will leave behind POWER-UPs when they are destroyed for you to boost your health.New and updated high score list means you can challenge your friends from across the room, or across the world!*Unfortunately, because of change in gameplay, version 1.0 Career Mode high scores cannot be transferred to this version.Experience the Future of Reality Based Gaming! --------------------------------------------Follow Viderea for great new apps in 2010:www.twitter.com/Videreawww.facebook.com/pages/Viderea/175471489242www.youtube.com/Viderea--------------------------------------------
","Viderea, Inc.",17.5 MB,English,12+,Free,"Jun 25, 2010",https://is3-ssl.mzstatic.com/image/thumb/Purple/a0/33/af/mzl.inmnqlur.png/230x0w.png,,Games
X Invasion 2: Chapter 1,https://apps.apple.com/us/app/x-invasion-2-chapter-1/id358718664,3.5 ,380,,"Hostile aliens have invaded San Francisco, and you are mankind's last line of defense. X Invasion 2 redefines the 3D arcade-style flight combat genre with intense gameplay, epic storyline, and intuitive controls!X Invasion 2 allows you to fly freely in true 3D over 10,000 square miles of photorealistic and geographically accurate views of the San Francisco Bay Area. ""X Invasion 2: Chapter 1"" contains a 20 minute timed Arcade Mode (the full version has no time limit) and the first 5 missions of Campaign Mode. To get the full experience, purchase ""X Invasion 2: Extreme Combat"" which includes 3 modes of play:Campaign Mode consists of over 16 unique missions that lead you on an epic journey from rookie flight training, to missions to perfect your flying skills, to unique missions such as aerial rollercoasters, follow the leader, cargo support, bombing runs, and of course culminates with an epic showdown with the Alien Mothership with the fate of Mankind in your hands.Arcade Mode.  How long can you survive against the untimed onslaught of Alien Invaders? How do your skills compare to others who have taken on the X Invasion? Arcade Mode is all about intense fun… use your weapons wisely, look out for powerups, and watch your back!Tour Mode.  Ever wished you could take a helicopter tour of the San Francisco Bay Area? To be able to hover over the famous landmarks and take gorgeous photos of the scenery? With Tour Mode, now you can! In Tour Mode, you can relax and explore and discover the beauty of the entire SF Bay Area. And if there is something you find interesting, you can take a picture of it and share it with your friends.X Invasion 2 features easy to learn controls. Tilt and rotate you device to turn left/right and move up/down. Slide your finger on the right side of the screen to change speed. It's that simple! This is about intense arcade-style fun, not frustrating and difficult to learn controls. *** NOTE: Restart your device after installation to avoid performance or crash issues. Particularly important with 1st and 2nd generation devices. ***View a preview of actual gameplay at:http://www.youtube.com/watch?v=lNy-fJ3lGikFollow Viderea:http://www.twitter.com/Videreahttp://www.facebook.com/pages/Viderea/175471489242http://www.youtube.com/Viderea
","Viderea, Inc.",70.3 MB,English,12+,Free,"Oct 6, 2010",https://is4-ssl.mzstatic.com/image/thumb/Purple/aa/6e/af/mzi.uhainbwm.png/230x0w.png,,Games
X Lines,https://apps.apple.com/us/app/x-lines/id1387718873,5.0 ,2,An untangle lines puzzle game,"X Lines is a great geometric thinking and brain exercise puzzle game that will bring you a lot of fun. The clean UI design let you focus on solving puzzles. You need to complete the game with power of reasoning, creativity, and imagination! A lot of challenges!FEATURES:- More than 200 well-designed levels (more levels will be continue to be added).- Both iPhone and iPad are supported- Suit for all ageHOW TO PLAY:Just move the nodes so as to uncross the lines and make sure that they don't overlap. Make all lines uncrossed (light blue) to win.Enjoy!
",Jing deng Liang,7.7 MB,"English, Japanese, Simplified Chinese, Traditional Chinese",4+,Free,"Aug 15, 2018",https://is1-ssl.mzstatic.com/image/thumb/Purple128/v4/68/c3/97/68c3978c-2cd6-84f8-e106-c01c20494df6/AppIcon-1x_U007emarketing-85-220-0-6.png/230x0w.png,Yes,Games
X Max Cookie: Link Cake Star,https://apps.apple.com/us/app/x-max-cookie-link-cake-star/id1135399590,,,,"The brand new and interesting cookie match-3 game is in your hand now!Match and smash tasty cookies in X Max Cookie: Link Cake Star.What's new- 144 mouth-watering cookie levels- 3 new and fresh maps with distinctive design (Pleasant Pond, Tumbleweed Isle, Cloud Town)- Unique boosters and props- Be careful with virus and ice that freeze cookies- Yummy and sweet cookie graphics- Easy to play, hard to master- Completely FREE to play
",Hoang Dinh Xuan,74.7 MB,English,4+,Free,"Jul 20, 2016",https://is2-ssl.mzstatic.com/image/thumb/Purple20/v4/92/24/3c/92243c58-5548-bf67-827a-f0a0ac2d872c/pr_source.jpg/230x0w.jpg,,Games
X Mine,https://apps.apple.com/us/app/x-mine/id1326705122,,,,"X Mine is classic mines game,just like you remember!The goal of the game is to uncover all the squares that do not contain mines.To mark a mine use long tap.Enjoy the game and avoid the mines!
",Liu ShunE,46.8 MB,English,4+,Free,,https://is5-ssl.mzstatic.com/image/thumb/Purple118/v4/3e/57/3d/3e573dca-dc3a-237e-7fca-1c131e6e50f8/AppIcon-1x_U007emarketing-0-85-220-0-5.jpeg/230x0w.jpg,,Games
X Multiplication Lite,https://apps.apple.com/us/app/x-multiplication-lite/id1058574926,,,Multiplication Game,"Multiplication Game

Learn all times tables from 2 to 10, simply and easy to use interface with different levels let you practice simple multiplication in fun way.

",Simon Ma,17.7 MB,English,4+,Free,"Dec 28, 2018",https://is2-ssl.mzstatic.com/image/thumb/Purple128/v4/05/88/38/05883812-db8e-07c7-d158-f1a9eefb458d/AppIcon-1x_U007emarketing-0-85-220-0-9.png/230x0w.png,,Education
X Multiplication Pro,https://apps.apple.com/us/app/x-multiplication-pro/id1058720651,,,Multiplication Game,"Multiplication GameLearn all times tables from 2 to 10, simply and easy to use interface with different levels let you practice simple multiplication in fun way.No annoying AD!
",Simon Ma,13.9 MB,English,4+,$1.99,"Dec 28, 2018",https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/6b/b4/e7/6bb4e770-2bda-098c-182a-dd49fe32c06e/AppIcon-1x_U007emarketing-0-85-220-0-9.png/230x0w.png,,Education
X O F U,https://apps.apple.com/us/app/x-o-f-u/id1483084856,5.0 ,3,Stress Therapy for Adults,"The ultimate mind bending, stress relieving and most importantly FUN game in the Apple store this year. Download now and enjoy a game of XOFU! We offer; Multiplayer mode- Single player against smart AI, that adapts to your play style and is highly unpredictable- Two player mode where you can play with your friends- An intense challenge that will help develop your strategic and tactical skills 
",Think Interactive Solutions LLC,16.7 MB,English,12+,Free,,https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/13/48/87/13488744-4aca-e720-ff6a-b5cb3fb62662/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/230x0w.png,,Games
X Puzzles - extreme sports jigsaw puzzles,https://apps.apple.com/us/app/x-puzzles-extreme-sports-jigsaw-puzzles/id1099550701,5.0 ,1,,"*** One of the best free jigsaw puzzle app! ***Enjoy the puzzles of the exciting x-sports! In this app, more than 80 puzzles are included.  You can enjoy many themes such as skydiving, motocross, MTB, surfing, wingsuit flying, climbing, snowboarding etc.Operation is very simple. Just put the piece to the correct location by moving at your fingertips.Not only play with puzzles included in the app, you can enjoy creating puzzles using your own photos!Puzzle themes:-> Pick up: extreme sports-> Climbing-> Motocross-> Wingsuit-> MTB-> Skydiving-> SurfingFeatures:-> HD quality beautiful images-> Simple and intuitive user interface-> Difficulty option: number of pieces-> Difficulty option: Piece rotation-> Support both iPhone and iPad-> Simultaneously solve multiple jigsaw puzzles-> Save and continueFrom small children to adults, anyone can enjoy this puzzle app!
","Quantis,Inc.",76 MB,"English, French, German, Italian, Japanese, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish, Vietnamese",4+,Free,2016年4月19日,https://is2-ssl.mzstatic.com/image/thumb/Purple49/v4/cf/97/f8/cf97f836-fb77-dc8d-d92b-dafc907ee98a/pr_source.jpg/230x0w.jpg,Yes,Games
X Racer,https://apps.apple.com/us/app/x-racer/id1456814581,5.0 ,5,Soar in Space,"X racer is a flight simulator of infinite flight. Power up your engine and get ready for journey to the the space. Power up your engine and get ready for speed. X Racer is a jet flight simulator with crazy Jets and Stunning environment.Drive fast and your survival is based on your strategy.GAME FEATURES-Stunning GraphicsGraphics are superb with fully 3d environment-Military Sky CombatCombat is between crazy jets with online multiplayer-Equip your planeEquip your plane with powerful Ammo-Air Combat as you likeAir combat is superb with stunning graphics.-Easy Controlscontrol is very Easy and stunning-Online RankingRank yourself online and play with your friends-Customize your Jets Buy different accessories of jets and customize your jet
",Ali Hasnain,87.8 MB,"English, Arabic, Chinese, French, Hindi, Japanese, Portuguese, Russian, Spanish",4+,Free,"Sep 24, 2020",https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/ea/a8/c0/eaa8c0cb-eb4d-5dfa-42ff-d53b4726cfb2/AppIcon-1x_U007emarketing-0-9-85-220.png/230x0w.png,,Games
X Racer Infinite,https://apps.apple.com/us/app/x-racer-infinite/id1027690426,4.3 ,3,,"Racer!Fight!!!We NeedUJoin Us!!!Fightting!!!
",Game Vol,100.3 MB,"English, Simplified Chinese",4+,Free,"Oct 29, 2015",https://is2-ssl.mzstatic.com/image/thumb/Purple6/v4/98/46/07/984607f6-bfee-3ff8-e04e-c077dbf94723/mzl.ldhrjpsz.png/230x0w.png,,Games
X Racer – Endless Racing and Flying game on Risky and Dangerous roads mobile edition,https://apps.apple.com/us/app/x-racer-endless-racing-flying-game-on-risky-dangerous/id1117998325,,,,"X Racer – Endless Racing and Flying game on Risky and Dangerous roads mobile editionThe most interesting flying roads in the sky to fly on, x racer is amazing and exclusive game in Itunes having more than million downloads. Fly through a dangerous polygon world at hyper-speed. Avoid everything or die.The best flying game ever. How far you can fly? How long you can survive. Jaw breaking hurdlers which makes the gameplay more exciting. Show us how best pilot you are!	X Racer – Endless Racing and Flying game on Risky and Dangerous roads mobile edition is giving you this fun opportunity for free. Fly the planes with simplest touch controls. Steer your plane to left and right going through the difficult moving obstacles coming on the way, to become the awesome pilot you always wanted to be.X Racer features:• Race at break-neck speeds through an ever-changing landscape.• Smoothest gameplay with quality 3D lightening & cool colours.• 3D themed environments with four planes including the Blue Falcon, Silver Falcon, Black Sniper & Golden Sniper.• Beautifully randomised coloured lights on every chance of game.• 3D city with Blocky graphics: Tower,buildings,spikes,moving blocks etc.• Ridiculously cool graphics and carefully crafted steer animations of Plane.• Simplest Touch based movements.• Cool power ups that includes slow-motion,turbo boosts & bonus credits.• Collect credits as you race, then use them to purchase items in the integrated shop. • Shop screen to purchase planes and credit doubters & triplets.• Share your best score via Facebook,twitter,mails etc.With smooth gameplay, surreal levels of fun, and the realistic ambience of city.Flying the planes has never been more realistic or this challenging.So buckle up and prepare for Flying! Enjoy Flying !!
",Amjad Ali,66.7 MB,English,4+,Free,"May 27, 2016",https://is1-ssl.mzstatic.com/image/thumb/Purple30/v4/da/e1/3f/dae13fbc-85e8-78db-7662-4e066def1661/pr_source.jpg/230x0w.jpg,,Games
X Racing Cars Road: Traffic,https://apps.apple.com/us/app/x-racing-cars-road-traffic/id1038827708,3.0 ,2,Runner Car: Simulation Games,"◉ X Racing Cars Road Runner ◉◉◉ Atypical Car Race! The police chases you through a village and a circuit! ◉◉You've always dreamed of having a sport car and you could not help but steal your preferred car when you saw it parked on the street...The police was passing undercover and is now pursuing you with a green car!Try to escape and survive by racing through stunning locations with plenty of surprises along the way.You'll never see a runner car racing game like this one!Dodge rivals, obstacles, ramps and avoid making crashes while you're at the controls of your brand new robbed sports car!Collect all the power-ups you see on the road to improve your sports car and make it invincible!Download the game and discover a crazy car racing runner, where other vehicles are involved and in which you have to keep a lot of concentration!Escape with the car of your dreams!
",BEST FREE GAMES-FUN APPS,183.9 MB,"English, French, German, Indonesian, Italian, Japanese, Korean, Malay, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Turkish, Vietnamese",4+,Free,"Feb 20, 2020",https://is5-ssl.mzstatic.com/image/thumb/Purple113/v4/a2/70/2c/a2702ca1-f084-6797-7180-0bb65bd49026/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-sRGB-85-220.png/230x0w.png,Yes,Games
X Racing Infinite - Hafun (free),https://apps.apple.com/us/app/x-racing-infinite-hafun-free/id976997948,,,,"Do you remember those mega arcade game about race, jump or dodge?  Those crazy survival games about chasing? Following the ""infinite space"", HaFun launched the most exciting visual shocking running game. It has magnificent 3D images as movie scene, can certainly stimulate the visual senses, let you in a state of euphoria!Let's test your reaction! On the thrilling channel to the X space, there's no way for retreat. You can only go forward! Please try to dodge those sharp stones, find a flat road to run! This way to the end of the universe is distant, dangerous and with difficulty. How far you can run?  20 meters? 50 meters? 100 meters? How about to challenge 10 km? Quickly to download this game, continue running to the end of the universe! Endless running!Description of game:The purpose of the game is to challenge the longest adventure mileage. The player role will continue to running, you should just touch panel (or turn your machine) to adjust the left or right direction of run. Try your best to dodge any danger!How to play:1. Enter the game, select the game level (general or difficult), and then select one operating mode (flip the machine over or touch screen), you can start the game.2. When you want to  pause the game, press the ""MENU"" button.3. The top of the game screen displays audio option and global ranking. Right of the game screen displays running mileage and best record.Game Features:* Beautifully graphics and dynamic sound* 3D realistic effects, 360-degree viewing angle * two operation modes (flip the machine over or touch screen) * Game center leaderboards and achievements to compete with friends* Simple and intuitive user interface* Support phone and tablet===========================================================================Note:This is a free APP, which has ads in it.We have confirmed these ads are safe and legal, and do not read any personal privacy or tracking any information.If you do not want to see any ads, please don't install this APP. Do not give us poor evaluation because of the advertising. Thanks!!==========================================================================================================================================================""HAFUN APP"" is a succession of casual games that produced by independent developers.  It fit for all kids and adults. Just play for fun or challenge your brain and mind. "" hafun"" means ""HAVE FUN (have fun) !"". So we hope you can enjoy it.Welcome to download our game, and give us some review. Of course, if you are interested in games, or any problem about our APP, please feedback your opinion. That can help us to provide more better APP. Send to us:  codingcake@gmail.com==============================================================================
",Scott Chen,76.1 MB,English,4+,Free,"Sep 8, 2016",https://is3-ssl.mzstatic.com/image/thumb/Purple62/v4/7b/53/b7/7b53b760-a2cb-40a8-8ab9-7078bb405607/mzl.wmhagiwc.png/230x0w.png,,Games
X Ray Robot Car - Shark Hunting,https://apps.apple.com/us/app/x-ray-robot-car-shark-hunting/id1251386738,4.6 ,5,,"Do you love playing shark hunting games? May be shark attack games? Have you ever imagined of going underwater and hunting sharks especially with robot car? Then make this imagination a reality by playing this X Ray Robot Car Shark Hunting.
",Muhammad Aaqib Bilal,275.9 MB,English,12+,Free,,https://is4-ssl.mzstatic.com/image/thumb/Purple117/v4/3d/d7/9f/3dd79f96-ebd4-ba17-1243-525ca469eca8/pr_source.jpg/230x0w.jpg,,Games
X Ray Robot Transport Semi Truck Parking Simulator,https://apps.apple.com/us/app/x-ray-robot-transport-semi-truck-parking-simulator/id1195004881,3.0 ,3,,"Enjoy the latest in robot truck transporter games which will give you a joyful experience of driving a truck transporter. It’s your job to drive in this multi truck simulator to transport x ray robots around the city. The driving and transporting robots is not an easy task but this is driving test will surely make you a pro truck driver. It’s your duty as an Army truck driver to transport grand robot around the city and high tech ray robots loaded on your transporter trailer truck. This latest game among other robot simulator in multi truck games is packed with multiple missions including transporter driving. You will enjoy car transporter and other transport games gameplay in this game. It all starts with loading x ray robot on the back of the big transport truck. Once grand robots walk in the back of the cargo truck it’s your duty to drive your army transport truck and drop them near the police station. Begin the police driving duty as the ultimate police transporter in this latest among police transport games and enjoy pro truck driver gameplay. Ensure delivery of futuristic robot and other x ray robot in this among truck transport games.This among 2017 futuristic robot transport games will definitely give you the edge of driving skillfully among best car robot games 3d. You may have played much transport X ray robots games but this one is going make you like this robot car games new and free robot battle games with its best robotic car simulator 2016. Play as the real city driver in latest among truck transporter games. All you have to do is drive around the city and swiftly deliver x ray robot to their destination and unlock many car transporter trucks. You will have to do skillfully some grand truck driving & ensure mechanics of steel robot is not damaged. Be a professional driver as you drive in your trucker in this futuristic robot truck transporter game.Your robot transport driving experience begins with heavy duty car transporter. Driving a giant truck and loading transport robots while making delivery inside the city. Drive your loader robots truck like a pro driver. You will learn to park robots properly over the heavy transporter truck. Make sure you know the route through robot transportation. This transport simulation is all about skillfully delivering futuristic robots to various police stations and some to police station for a repair job. It’s not an easy task to transport futuristic robot in this multi truck simulator. This futuristic transport simulation is quite different from other transporter games so enjoy this one among grand robots simulation games.Key Features of Truck Transport X Ray Robot Game- Challenging gameplay as the best trucker game- Enjoy Skillful driving of a Multi car transporter- Transport Different Robots on your Car Transporter Truck- Real 3D Robot Simulator Controls- Latest release for the lovers of transformer car games with variety of levels- Load in your truck Helicopter Transport of Futuristic Robots- Exciting Car Robot Simulator Game missions- Enjoy futuristic x ray robot Game
",Haxon Studios,162.9 MB,English,9+,Free,,https://is4-ssl.mzstatic.com/image/thumb/Purple111/v4/26/22/ce/2622ceb8-209c-f492-896b-46b88a0731fe/pr_source.png/230x0w.png,,Games
